,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,225,0.225,103.0,0.4577777777777778,64.0,0.28444444444444444,106.0,0.4711111111111111,0.4577777777777778
Cell type,702,296,0.42165242165242167,120.0,0.40540540540540543,91.0,0.30743243243243246,132.0,0.44594594594594594,0.40540540540540543
Condition/Disease,122,26,0.21311475409836064,21.0,0.8076923076923077,20.0,0.7692307692307693,22.0,0.8461538461538461,0.8076923076923077
Data type,78,11,0.14102564102564102,9.0,0.8181818181818182,,,9.0,0.8181818181818182,0.8181818181818182
Genotype,595,182,0.3058823529411765,75.0,0.41208791208791207,54.0,0.2967032967032967,92.0,0.5054945054945055,0.41208791208791207
Platform,275,18,0.06545454545454546,11.0,0.6111111111111112,9.0,0.5,11.0,0.6111111111111112,0.6111111111111112
Sex,190,4,0.021052631578947368,4.0,1.0,1.0,0.25,4.0,1.0,1.0
Species,1000,812,0.812,751.0,0.9248768472906403,719.0,0.8854679802955665,762.0,0.9384236453201971,0.9248768472906403
Strain,1000,451,0.451,33.0,0.07317073170731707,289.0,0.6407982261640798,293.0,0.6496674057649667,0.6407982261640798
Tissue,1000,201,0.201,135.0,0.6716417910447762,120.0,0.5970149253731343,145.0,0.7213930348258707,0.6716417910447762
