,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,225,0.225,103.0,0.4577777777777778,65.0,0.28888888888888886,106.0,0.4711111111111111,0.4577777777777778
Cell type,702,199,0.28347578347578345,77.0,0.3869346733668342,72.0,0.36180904522613067,87.0,0.4371859296482412,0.3869346733668342
Condition/Disease,122,26,0.21311475409836064,21.0,0.8076923076923077,20.0,0.7692307692307693,22.0,0.8461538461538461,0.8076923076923077
Data type,78,18,0.23076923076923078,10.0,0.5555555555555556,,,10.0,0.5555555555555556,0.5555555555555556
Genotype,595,142,0.23865546218487396,65.0,0.45774647887323944,51.0,0.3591549295774648,81.0,0.5704225352112676,0.45774647887323944
Platform,275,43,0.15636363636363637,21.0,0.4883720930232558,6.0,0.13953488372093023,21.0,0.4883720930232558,0.4883720930232558
Sex,190,24,0.12631578947368421,24.0,1.0,21.0,0.875,24.0,1.0,1.0
Species,1000,796,0.796,740.0,0.9296482412060302,715.0,0.8982412060301508,752.0,0.9447236180904522,0.9296482412060302
Strain,1000,418,0.418,31.0,0.07416267942583732,293.0,0.7009569377990431,297.0,0.7105263157894737,0.7009569377990431
Tissue,1000,221,0.221,141.0,0.6380090497737556,129.0,0.583710407239819,149.0,0.6742081447963801,0.6380090497737556
