,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,227,0.227,100.0,0.44052863436123346,64.0,0.28193832599118945,103.0,0.45374449339207046,0.44052863436123346
Cell type,702,245,0.349002849002849,98.0,0.4,92.0,0.37551020408163266,112.0,0.45714285714285713,0.4
Condition/Disease,122,26,0.21311475409836064,21.0,0.8076923076923077,20.0,0.7692307692307693,22.0,0.8461538461538461,0.8076923076923077
Data type,78,13,0.16666666666666666,11.0,0.8461538461538461,,,11.0,0.8461538461538461,0.8461538461538461
Genotype,595,158,0.26554621848739496,63.0,0.3987341772151899,51.0,0.3227848101265823,79.0,0.5,0.3987341772151899
Platform,275,33,0.12,21.0,0.6363636363636364,6.0,0.18181818181818182,21.0,0.6363636363636364,0.6363636363636364
Sex,190,3,0.015789473684210527,3.0,1.0,,,3.0,1.0,1.0
Species,1000,898,0.898,828.0,0.9220489977728286,787.0,0.876391982182628,839.0,0.9342984409799554,0.9220489977728286
Strain,1000,279,0.279,24.0,0.08602150537634409,242.0,0.8673835125448028,242.0,0.8673835125448028,0.8673835125448028
Tissue,1000,227,0.227,144.0,0.6343612334801763,128.0,0.5638766519823789,157.0,0.6916299559471366,0.6343612334801763
