,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,240,0.24,104.0,0.43333333333333335,67.0,0.2791666666666667,109.0,0.45416666666666666,0.43333333333333335
Cell type,702,180,0.2564102564102564,81.0,0.45,72.0,0.4,87.0,0.48333333333333334,0.45
Condition/Disease,122,26,0.21311475409836064,21.0,0.8076923076923077,20.0,0.7692307692307693,22.0,0.8461538461538461,0.8076923076923077
Data type,78,20,0.2564102564102564,11.0,0.55,,,11.0,0.55,0.55
Genotype,595,134,0.22521008403361345,63.0,0.4701492537313433,51.0,0.3805970149253731,79.0,0.5895522388059702,0.4701492537313433
Platform,275,43,0.15636363636363637,21.0,0.4883720930232558,6.0,0.13953488372093023,21.0,0.4883720930232558,0.4883720930232558
Sex,190,4,0.021052631578947368,4.0,1.0,1.0,0.25,4.0,1.0,1.0
Species,1000,878,0.878,812.0,0.9248291571753986,773.0,0.8804100227790432,824.0,0.9384965831435079,0.9248291571753986
Strain,1000,332,0.332,30.0,0.09036144578313253,286.0,0.8614457831325302,287.0,0.8644578313253012,0.8614457831325302
Tissue,1000,301,0.301,175.0,0.5813953488372093,161.0,0.5348837209302325,187.0,0.6212624584717608,0.5813953488372093
