,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,229,0.229,105.0,0.4585152838427948,67.0,0.2925764192139738,108.0,0.47161572052401746,0.4585152838427948
Cell type,702,270,0.38461538461538464,107.0,0.3962962962962963,106.0,0.3925925925925926,123.0,0.45555555555555555,0.3962962962962963
Condition/Disease,122,25,0.20491803278688525,22.0,0.88,21.0,0.84,23.0,0.92,0.88
Data type,78,9,0.11538461538461539,7.0,0.7777777777777778,,,7.0,0.7777777777777778,0.7777777777777778
Genotype,595,142,0.23865546218487396,69.0,0.4859154929577465,51.0,0.3591549295774648,84.0,0.5915492957746479,0.4859154929577465
Platform,275,21,0.07636363636363637,11.0,0.5238095238095238,6.0,0.2857142857142857,11.0,0.5238095238095238,0.5238095238095238
Protocol,18,3,0.16666666666666666,3.0,1.0,3.0,1.0,3.0,1.0,1.0
Sex,190,14,0.07368421052631578,14.0,1.0,11.0,0.7857142857142857,14.0,1.0,1.0
Species,1000,905,0.905,823.0,0.9093922651933701,786.0,0.8685082872928177,836.0,0.9237569060773481,0.9093922651933701
Strain,1000,288,0.288,24.0,0.08333333333333333,234.0,0.8125,235.0,0.8159722222222222,0.8125
Tissue,1000,291,0.291,167.0,0.5738831615120275,151.0,0.5189003436426117,181.0,0.6219931271477663,0.5738831615120275
