,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,232,0.232,104.0,0.4482758620689655,66.0,0.28448275862068967,107.0,0.46120689655172414,0.4482758620689655
Cell type,702,282,0.4017094017094017,132.0,0.46808510638297873,118.0,0.41843971631205673,151.0,0.5354609929078015,0.46808510638297873
Condition/Disease,122,24,0.19672131147540983,21.0,0.875,20.0,0.8333333333333334,22.0,0.9166666666666666,0.875
Data type,78,6,0.07692307692307693,5.0,0.8333333333333334,,,5.0,0.8333333333333334,0.8333333333333334
Genotype,595,179,0.30084033613445377,74.0,0.4134078212290503,56.0,0.3128491620111732,92.0,0.5139664804469274,0.4134078212290503
Platform,275,40,0.14545454545454545,21.0,0.525,9.0,0.225,21.0,0.525,0.525
Sex,190,24,0.12631578947368421,24.0,1.0,21.0,0.875,24.0,1.0,1.0
Species,1000,799,0.799,740.0,0.9261576971214017,704.0,0.8811013767209012,751.0,0.9399249061326659,0.9261576971214017
Strain,1000,237,0.237,36.0,0.1518987341772152,186.0,0.7848101265822784,187.0,0.7890295358649789,0.7848101265822784
Tissue,1000,323,0.323,202.0,0.6253869969040248,183.0,0.56656346749226,214.0,0.6625386996904025,0.6253869969040248
