,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,231,0.231,104.0,0.45021645021645024,66.0,0.2857142857142857,107.0,0.46320346320346323,0.45021645021645024
Cell type,702,301,0.4287749287749288,119.0,0.3953488372093023,109.0,0.36212624584717606,135.0,0.4485049833887043,0.3953488372093023
Condition/Disease,122,26,0.21311475409836064,21.0,0.8076923076923077,20.0,0.7692307692307693,22.0,0.8461538461538461,0.8076923076923077
Data type,78,16,0.20512820512820512,9.0,0.5625,,,9.0,0.5625,0.5625
Genotype,595,97,0.16302521008403362,55.0,0.5670103092783505,37.0,0.38144329896907214,61.0,0.6288659793814433,0.5670103092783505
Platform,275,21,0.07636363636363637,11.0,0.5238095238095238,9.0,0.42857142857142855,11.0,0.5238095238095238,0.5238095238095238
Sex,190,24,0.12631578947368421,24.0,1.0,21.0,0.875,24.0,1.0,1.0
Species,1000,866,0.866,802.0,0.9260969976905312,759.0,0.8764434180138568,813.0,0.9387990762124712,0.9260969976905312
Strain,1000,339,0.339,28.0,0.08259587020648967,271.0,0.799410029498525,272.0,0.8023598820058997,0.799410029498525
Tissue,1000,290,0.29,173.0,0.596551724137931,163.0,0.5620689655172414,186.0,0.6413793103448275,0.596551724137931
