,titles,predicted,fraction_predicted,match_cosine,fraction_match_cosine,match_contain,fraction_match_contain,match,either_match,percent_correct
Age,1000,239,0.239,105.0,0.4393305439330544,77.0,0.32217573221757323,108.0,0.45188284518828453,0.4393305439330544
Cell type,702,226,0.32193732193732194,103.0,0.4557522123893805,98.0,0.4336283185840708,116.0,0.5132743362831859,0.4557522123893805
Condition/Disease,122,26,0.21311475409836064,22.0,0.8461538461538461,21.0,0.8076923076923077,23.0,0.8846153846153846,0.8461538461538461
Data type,78,16,0.20512820512820512,9.0,0.5625,,,9.0,0.5625,0.5625
Genotype,595,169,0.28403361344537814,70.0,0.41420118343195267,52.0,0.3076923076923077,86.0,0.5088757396449705,0.41420118343195267
Platform,275,21,0.07636363636363637,11.0,0.5238095238095238,6.0,0.2857142857142857,11.0,0.5238095238095238,0.5238095238095238
Sex,190,4,0.021052631578947368,4.0,1.0,1.0,0.25,4.0,1.0,1.0
Species,1000,846,0.846,784.0,0.9267139479905437,747.0,0.8829787234042553,797.0,0.942080378250591,0.9267139479905437
Strain,1000,286,0.286,26.0,0.09090909090909091,232.0,0.8111888111888111,237.0,0.8286713286713286,0.8111888111888111
Tissue,1000,281,0.281,166.0,0.5907473309608541,149.0,0.5302491103202847,178.0,0.6334519572953736,0.5907473309608541
